name,ring,quadrant,isNew,status,description,tag,moved
Azure Bastion,AVALIAR,FERRAMENTAS,True,new,"<p><strong>Segurança e Operações</strong></p>
<p>Ferramenta de segurança de infraestrutura de suporte, utilizada em cenários de acesso remoto seguro, adequado a cargas de trabalho baseadas em VMs, e/ou acessos periféricos a plataformas de dados modernas baseadas em PaaS ou outros enários hibridos</p>
<p>Funciona como um serviço de ""jumpbox"" seguro e permite acessos RDP/SSH baseado via browsers a VMs do Azure sem a necessidade de exposição de IPs públicos.</p>
<p>Mantêm relevância enquanto a segurança de VMs ou segurança de jump-hosts é relevante, como ferramenta de suporte na adoção da maioria das arquiteturas de dados modernas.</p>
<p>Não justifica normalmente a adoção de uma técnica especifica ou dedicada a menos que estejam a ser considerados de forma relevante cenários híbridos ou com uso intenso de IaaS.</p>
<p><strong><a href=""https://azure.microsoft.com/pt-pt/products/azure-bastion"">Azure Bastion</p>","Segurança
Operações",new
Azure Log Analytics,TESTAR,FERRAMENTAS,True,new,"<p><strong>Monitorização e Observabilidade</strong></p>
<p>Mecanismo analítico central por trás do Azure Monitor></p>
<p>Suporta cenários de consultas de telemetria, dashborads, alertas e integrações</p>
<p>Ttotalmente integrado com a linguagem KQL e outros serviços do Azure.</p>
<p>Possibilita a análise de logs e métricas de: </p>
<p>1. Application Insights</p>
<p>2. Agentes do Azure Monitor (Azure Monitor agents)</p>
<p>3. Central de Segurança do Azure (Azure Security Center)</p>
<p>4. Fontes de telemetria personalizadas (por exemplo, consultas KQL)</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/azure-monitor/logs/log-analytics-overview?tabs=simple"">Log Analytics in Azure Monitor</p>","Monitorização
Observabilidade",new
Azure Private Endpoint,TESTAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p>Interface de rede específica utilizada para acesso a serviços de forma privada por meio do Link Privado do Azure</p>
<p>Ferramenta essencial para permitir o acesso seguro aos dados no nível de IP.</p>
<p>Um ""Private Endpoint"" é considerado um recurso concreto — a interface de rede real criada na VNet para representar esse acesso privado.</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview"">Azure Private Endpoint</p>","Segurança
Operações",new
Biblioteca de Logging,TESTAR,FERRAMENTAS,True,new,"<p><strong>Monitorização e Observabilidadev
<p>Sem Informação>Biblioteca de Logging</p>","Monitorização
Observabilidade",new
dbt,ESPERAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p><strong><a href=""https://www.getdbt.com/"">dbt</p>",Utilização geral,new
duckdb,ESPERAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p><strong><a href=""https://duckdb.org/"">duckdb</p>",Utilização geral,new
Elasticsearch,AVALIAR,FERRAMENTAS,True,new,"<p><strong>Interface de utilização & Descoberta</strong></p>
<p>Engine distribuido de pesquisa e análise, frequentemente utilizado para agregação de logs, aplicações baseadas em mecanismos de pesquisa ou dashboards analíticos, relevante em contextos de observabilidade e pesquisa de dados semiestruturados.</p>
<p>Suporta cenários de: </p>
<p>1. Pesquisa de texto completo</p>
<p>2. Agregações e dashboards (via Kibana)</p>
<p>3. Utilizado de forma complementar em stacks de observabilidade (por exemplo, ELK)</p>
<p>4. Pode ser autogerenciado ou executado via Elastic Cloud no Azure.</p>
<p>Também se sobrepõe funcionalmente a:</p>
<p>1. Azure Monitor + Log Analytics (nativo)</p>
<p>2. Datadog, Splunk, etc.</p>","Pesquisa
Descoberta",new
Fabric Capacities Metric APP,ADOTAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p>Utilitário de monitorização baseado em Power BI para analisar o uso da capacidade do Fabric, a distribuição das carga de trabalho e as métricas de desempenho</p>
<p>útil para cenários de governação, orçamentação e supervisão operacional.</p>
<p>1. Fornecido como um aplicativo do Power BI. </p>
<p>2. Conecta-se a métricas ao nível do tenent </p>
<p>Utilizado para monitorizar </p>:
<p>1. Utilização de CPU/memória por workspaces </p>
<p>2. Tipos de tarefas (notebooks, pipelines, consultas)</p>
<p>3. Actividade dos utilizadores</p>
<p>4. Saturação e limitação de capacidade.</p>
<p>Essencial para:</p>
<p>1. Equipas de governação</p>
<p>2. Proprietários de plataforma</p>
<p>3. Equipas de com foco nos custos de utilização da plataforma para operacionalização de produtos de dados .</p>","Monitorização
Observabilidade",new
Fabric Data Factory,ADOTAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p>O Fabric Data Factory é a evolução do Azure Data Factory (ADF) da Microsoft para o ecossistema do Microsoft Fabric, oferecendo uma plataforma de orquestração mais unificada e nativa para pipelines de dados. </p>
<p>Sendo uma ferramenta de orquestração nativa no Microsoft Fabric, e alinhada com os padrões clássicos do Data Factory, integrando agora com a filosofia do Lakehouse, warehouse e governação de itens do Fabric, tona-se importante posicioná-lo cuidadosamente ao lado do Dataflows Gen2 e outras ferramentas de orquestração.</p>
<p>Capaciddes disponibilizadas: </p>
<p>1. Orquestração de pipelines (cópia, transformação, fluxos de controle)</p>
<p>2. Suporte a notebooks, jobs do Spark, atividades SQL, REST e movimentação de dados.</p>
<p>3. Integração nativa com OneLake, Warehouse, fluxos de dados e Power BI.</p>
<p>4. Inclui triggers de eventos, execuções baseadas em agendamentos, suoprte a ""managed identities"" e integração com workspaces.</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/data-factory/data-factory-overview"">Fabric Data Factory</p>","Automação
Orquestração",new
Fabric Search Web Interface,ADOTAR,FERRAMENTAS,True,new,"<p><strong>Interface de utilização & Descoberta</strong></p>
<p>Capacidades de pesquisa e descoberta centralizada de artefatos do Microsoft Fabric</p>
<p>Oferece suporte a pesquisas baseadas em nomes e metadados em workspaces, permitindo cenários de descoberta e governação em ambientes colaborativos e distribuidos </p>
<p><strong><a href=""https://learn.microsoft.com/en-us/fabric/fundamentals/fabric-home"">Fabric Items Web Inferface Search</p>","Pesquisa
Descoberta",new
Git,ADOTAR,FERRAMENTAS,False,no change,"<p><strong>DevOps e Engenharia</strong></p>
<p>Essencial para a estratégia de CI/CD e controle de versões. </p>
<p>Possibilitam a adoção de técnicas formais no contexto da automação de entregas, governação e colaboração de equipas. </p>
<p>Fundação para a adoção de técnicas de controle de versões, utilizadas para rastreio de código-fonte, notebooks, scripts e configurações, entre diferentes equipas de trabalho e ambientes.</p>
<p><strong><a href=""https://git-scm.com/"">Git</p>","DevOps
Engenharia",none
GitHub Actions,TESTAR,FERRAMENTAS,True,new,"<p><strong>DevOps e Engenharia</strong></p>
<p>Essencial para a estratégia de CI/CD e controle de versões. </p>
<p>Possibilitam a adoção de técnicas formais no contexto da automação de entregas, governação e colaboração de equipas. </p>
<p>Fundação para a adoção de técnicas de controle de versões, utilizadas para rastreio de código-fonte, notebooks, scripts e configurações, entre diferentes equipas de trabalho e ambientes.</p>
<p><strong><a href=""https://github.com/features/actions"">GitHub Actions</p>","DevOps
Engenharia",new
GitHub Repos,ADOTAR,FERRAMENTAS,True,new,"<p><strong>DevOps e Engenharia</strong></p>
<p>Essencial para a estratégia de CI/CD e controle de versões. </p>
<p>Possibilitam a adoção de técnicas formais no contexto da automação de entregas, governação e colaboração de equipas. </p>
<p>Plataforma de repositório de código central com suporte para controle de versõe, colaboração e integração de implementação para notebooks, pipelines, modelos e configurações</p>
<p><strong><a href=""https://docs.github.com/en/repositories/creating-and-managing-repositories/quickstart-for-repositories"">GitHub Repos</p>","DevOps
Engenharia",new
Maestro,ADOTAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p>Sem Informação>Maestro</p>
<p>dsi-de-docs/maestro.md at main · BdP/dsi-de-docs</p>","Automação
Orquestração",new
Microsoft Entra ID,ADOTAR,FERRAMENTAS,False,no change,"<p><strong>Gestão de Identidades</strong></p>
<p>Ferramentas e Serviços para construção de uma Plataforma de gestão de identidades para autenticação de utilizadores, serviços e APIs </p>
<p>Permite o controlo de acessos baseado em funções, acessos condicionais, SSO e integração em todo o ecossistema do Azure e serviços de dados.</p>
<p>Disponibiliza as seguintes capacidades: </p>
<p>1. Login Único (SSO)</p>
<p>2. Controle de Acesso Baseado em Funções (RBAC)</p>
<p>3. Acesso baseado em grupos</p>
<p>4. Registo de aplicações/serviços (Service Principals)</p>
<p>5. Acessos condicionais e proteção de identidade</p>
<p>Integrado com:</p>
<p>1. Recursos do Azure (via RBAC)</p>
<p>2. Microsoft Fabric, Power BI</p>
<p>3. APIs e aplicações personalizadas</p>
<p>4. DevOps e GitHub</p>
<p><strong><a href=""https://www.microsoft.com/pt-pt/security/business/identity-access/microsoft-entra-id"">Microsoft Entra ID</p>","Gestão de Identidades
Controlo de Acessos",none
Módulo CQN 1,ESPERAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p><strong><a href=""https://www.getdbt.com/"">dbt</p>
<p>Sem Informação>Módulo CQN 1</p>",Utilização geral,new
Módulo CQN 2,ESPERAR,FERRAMENTAS,True,new,"<p><strong>Ferramenta de utilização geral</strong></p>
<p><strong><a href=""https://www.getdbt.com/"">dbt</p>
<p>Sem Informação>Módulo CQN 2</p>",Utilização geral,new
OneLake File Explorer,TESTAR,FERRAMENTAS,True,new,"<p><strong>Interface de utilização & Descoberta</strong></p>
<p>Extensão nativa do Windows que permite o acesso ao sistema de arquivos do OneLake por meio de integração semelhante ao OneDrive</p>
<p>Suporta operações de leitura/gravação em dados do Lakehouse a partir de ambientes de desktop locais com as permissões apropriadas.</p>
<p>Permite visualização nativa do OneLake a partir do Windows File Explorer com autenticação via Microsoft Entra ID.</p>
<p>Suporta:</p>
<p>1. Visualização e interação com arquivos Delta/Parquet/CSV. </p>
<p>2. Upload de arquivos via drag & drop para o Lakehouse. </p>
<p>3. Exploração de estruturas de pastas de espaços de trabalho.</p>
<p><strong><a href=""https://www.microsoft.com/en-us/download/details.aspx?id=105222"">OneLake File Explorer</p>","Pesquisa
Descoberta",new
On-premises Data Gateway,ADOTAR,FERRAMENTAS,True,new,"<p><strong>Segurança e Operações</strong></p>
<p>Gateway de Dados Local para desempenhar um papel especializado, porém importante, em plataformas de dados híbridas, permitindo conectividade segura de serviços em Cloud a fontes de dados locais. </p>
<p>É essencial onde sistemas legados, requisitos regulatórios ou restrições de rede exigem cenários de integração híbridos.</p>
<p>Permite conectividade híbrida segura do Microsoft Fabric, Power BI e outros serviços do Azure a fontes de dados locais </p>
<p>Suportado em:</p>
<p>1. Power BI</p>
<p>2. Microsoft Fabric (Fluxos de Dados, Pipelines)</p>
<p>3. Power Apps / Aplicativos Lógicos</p>
<p>4. Azure Analysis Services</p>
<p>Principais capacidades</p>
<p>1. Conecta-se a SQL, arquivos locais, etc.</p>
<p>2. Reforça a segurança, autenticação e controle do fluxo de dados.</p>
<p><strong><a href=""VNET Data Gateway"">VNET Data Gateway</p>","Segurança
Operações",new
Pacman,ADOTAR,FERRAMENTAS,False,no change,"<p><strong>Ferramenta de utilização geral</strong></p>
<p>Frameworks de Arquitetura de Dados - Recolha, Controlo Qualidade e Processamento</p>","Automação
Orquestração",none
Azure Vaults for Backup and DR ,ESPERAR,FERRAMENTAS,True,new,"<p><strong>Segurança e Operações</strong></p>
<p>Termo consolidado para segurança de Serviços de Recuperação e de Backup</p>
<p>É uma ferramenta de segurança e proteção, gerida, usada para: </p>
<p>1. Backup de VMs, SQL, Arquivos do Azure, etc.</p>
<p>2. Recuperação em caso de desastre via Azure Site Recovery</p>
<p>Normalmente periférica em arquiteturas nativas de dados, pode sobrepor-se a funcionalidades especificas de serviços de backup </p>","Segurança
Operações",new
VNET Data Gateway,TESTAR,FERRAMENTAS,True,new,"<p><strong>Segurança e Operações</strong></p>
<p><strong><a href=""https://learn.microsoft.com/en-us/power-bi/connect-data/service-gateway-onprem"">On-premises Data Gateway</p>","Segurança
Operações",new
Databricks Unity Catalog,ESPERAR,FERRAMENTAS,False,moved in,"<p><strong>Governação</strong></p>
<p>Ferramemta estratégica de governação estratégica, cada vez mais crítica, mas ainda em fase de adoção</p>
<p>1. É uma ferramenta de governação e gestão de metadados.</p>
<p>2. Fornece recursos específicos: controle de acessos, catalogação de dados, linhagem e auditoria</p>",Governação,up
Azure Key Vault,ADOTAR,FERRAMENTAS,True,new,"<p><strong>Segurança e Operações</strong></p>
<p>O Azure Key Vault é uma ferramenta de gestão de segredos e armazenamento de chaves.</p>
<p>É usado para proteger credenciais, strings de conexão, chaves de criptografia, certificados e muito mais.</p>
<p>Integra com:</p>
<p>1. Serviço de Aplicativo do Azure, Funções e Pipelines</p>
<p>2. Azure SQL, Armazenamento, Synapse e Fabric</p>
<p>3. Identidades gerenciadas pelo Azure e RBAC</p>
<p>4. Pipelines de CI/CD</p>
<p><strong><a href=""https://azure.microsoft.com/en-us/products/key-vault"">Azure Key Vault</p>","Segurança
Operações",new
Azure AI Services,ESPERAR,PLATAFORMAS,True,new,"<p><strong>Inteligência Artificial & Machine Learning</strong></p>
<p><strong><a href=""https://azure.microsoft.com/en-us/products/ai-services"">Azure AI services</p>","Inteligência Artificial
Machine Learning",new
Azure API Management,ESPERAR,PLATAFORMAS,True,new,"<p><strong>Integração & Conectividade</strong></p>
<p>Plataforma estratégica para exposição segura de APIs e governação de integraçoes </p>
<p><strong><a href=""https://azure.microsoft.com/en-us/products/api-management"">Azure API Management</p>","Integração
Conectividade",new
Azure App Service,ESPERAR,PLATAFORMAS,True,new,"<p><strong>Plataforma de utilização geral</strong></p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/app-service/overview"">Azure APP Service</p>",Utilização geral,new
Azure Data Factory,ESPERAR,PLATAFORMAS,True,new,"<p><strong>Dados e Analitica</strong></p>
<p>Plataforma de integração de dados legada e híbrida;, relevante para cargas de trabalho existentes, mas sendo progressivamente substituída pela orquestração nativa do Fabric em plataformas de dados modernas.</p>
<p>Faz sentido incluir o ADF, mas marcá-lo como ""Hold"" para refletir que é relevante, mas não é mais a direção estratégica.</p>
<p>Considerado em cenários de :</p>
<p>1. Integração de dados híbridos</p>
<p>2. Ingestão de dados on-prem</p>
<p>3. Movimentação de dados entre regiões ou multi-cloud</p>
<p>4. Enquanto o Fabric ainda não for coniderado ainda a plataforma universal</p>","Dados
Analitica",new
Azure DataLake Storage Gen 2,AVALIAR,PLATAFORMAS,True,new,"<p><strong>Armazenamento</strong></p>
<p>O Azure Data Lake Storage Gen2 (ADLS Gen2) é uma plataforma central de armazenamento nativos da Cloud Azure e suporta quase todos os principais serviços da sua plataforma de dados (Fabric, Synapse, Data Factory, etc.).</p>
<p>Suporta arquiteturas lakehouse, namespaces hierárquicos, RBAC, ACLs e integra com todos os principais serviços de análise do Azure.</p>
<p>Capacidades</p>
<p>1. Namespace hierárquico (pastas e arquivos)</p>
<p>2. Suporta formatos abertos (Parquet, Delta, CSV, JSON, etc.)</p>
<p>Integra com</p>
<p>1. Microsoft Fabric (OneLake por baixo)</p>
<p>2. Synapse</p>
<p>3. ADF, Fluxos de Dados</p>
<p>4. Azure ML</p>
<p>Permite controle de acesso via Azure RBAC + ACLs</p>
<p><strong><a href=""https://learn.microsoft.com/pt-pt/azure/hdinsight/overview-data-lake-storage-gen2"">Azure DataLake Storage Gen 2</p>",Persistência,new
Azure Private Link (with Private Endpoint),TESTAR,PLATAFORMAS,True,new,"<p><strong>Segurança e Operações</strong></p>
<p>O Azure Private Link é um serviço essencial para segurança de rede e isolamento de acesso a dados. </p>
<p>Permite conectividade privada aos serviços do Azure sem expor o tráfego à internet pública, o que é especialmente importante em plataformas de dados que lidam com dados confidenciais ou regulados.</p>
<p>Fundamental para acesso seguro e privado aos serviços de PaaS do Azure e serviços de parceiros, por meio de endpoints isolados da rede; impõe isolamento e conformidade de rede em arquiteturas de dados de nível empresarial.</p>
<p>Habilita endpoints privados para serviços como:</p>
<p>1. Armazenamento, SQL, Synapse, Key Vault, Event Hubs, etc.</p>
<p>2. Garante que o tráfego permaneça dentro do backbone do Azure.</p>
<p>3. Evita a necessidade de IPs públicos ou passagem de NAT.</p>
<p>4. Frequentemente combinado com Zonas DNS Privadas, Integração de VNet.</p>
<p><strong><a href=""https://azure.microsoft.com/pt-pt/products/private-link"">Azure Private Link</p>","Segurança
Operações",new
Azure SQL database,AVALIAR,PLATAFORMAS,True,new,"<p><strong>Gestão de Bases de Dados</strong></p>
<p>Azure SQL Database</p>
<p><strong><a href=""""https://azure.microsoft.com/en-us/products/azure-sql/database/?&ef_id=_k_Cj0KCQjw8cHABhC-ARIsAJnY12yuaGXxeolRa74kydunvO6AqfECw_APA2rIx382WXsF-vk1FsMJNRkaAt84EALw_wcB_k_&OCID=AIDcmmj8drqamm_SEM__k_Cj0KCQjw8cHABhC-ARIsAJnY12yuaGXxeolRa74kydunvO6AqfECw_APA2rIx382WXsF-vk1FsMJNRkaAt84EALw_wcB_k_&gad_source=1&gclid=Cj0KCQjw8cHABhC-ARIsAJnY12yuaGXxeolRa74kydunvO6AqfECw_APA2rIx382WXsF-vk1FsMJNRkaAt84EALw_wcB"""">",Persistência,new
Azure Storage account,ADOTAR,PLATAFORMAS,True,new,"<p><strong>Armazenamento</strong></p>
<p>Camada de armazenamento fundamental epara plataformas de dados nativas em Cloud; compatível com ADLS Gen2, Blob e padrões de data lake </p>
<p>É um serviço central da plataforma Azure que permite:</p>
<p>1. Armazenamento de objetos (Blob)</p>
<p>2. Armazenamento hierárquico em data lake (ADLS Gen2)</p>
<p>3. Partilha de arquivos e tabelas</p>
<p>Usado em:</p>
<p>1. Ingestão de dados</p>
<p>2. Camadas de data lake</p>
<p>3. Fluxos de trabalho de Machine Learning</p>
<p>4. Backup, recuperação e logging</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview"">Azure Storage accont</p>",Persistência,new
Dataflows Gen2,TESTAR,PLATAFORMAS,True,new,"<p><strong>Dados e Analitica</strong></p>
<p>O Dataflows Gen2 é um plataforma low-code de transformação de dados e desempenha um papel cada vez mais central no Microsoft Fabric. </p>
<p>Ele é usado para ingestão, modelação e preparação de dados </p>
<p>Principais capacidades</p>
<p>1. ETL sem conhecimentos de codificação utilizando o Power Query Online.</p>
<p>2. Utilização de lakehouse, warehouse ou datamart.</p>
<p>3. Suporta atualizações baseadas em agendamentos e eventos.</p>
<p>4. Possui integração de linhagem, controle de acessos e utilização de workspaces no Fabric.</p>
<p><strong><a href=""https://learn.microsoft.com/pt-pt/fabric/data-factory/dataflows-gen2-overview"">Dataflows (Gen2)</p>","Dados
Analitica",new
DDEW,ADOTAR,PLATAFORMAS,False,no change,"<p><strong>Plataforma de utilização geral</strong></p>
<p>Data Warehouse do DDE</p>",Persistência,none
Event Hubs,ESPERAR,PLATAFORMAS,True,new,"<p><strong>Dados e Analitica</strong></p>
<p>O Event Hubs é uma plataforma de streaming totalmente gerida.</p>
<p>Plataforma de ingestão essencial para streaming de dados em escala, essencial para análises em tempo real, telemetria e pipelines de eventos híbridos.</p>
<p>1. Permite a ingestão de altas taxas de transferência de telemetria, logs, fluxos de eventos, dados de IoT.</p>
<p>2. Faz parte da infraestrutura central de streaming de eventos do Azure .</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/event-hubs/"">Azure Event Hubs</p>","Dados
Analitica",new
Fabric Notebooks,ADOTAR,PLATAFORMAS,True,new,"<p><strong>Dados e Analitica</strong></p>
<p>Interface de notebooks nativa no Microsoft Fabric para criação de scripts PySpark, Spark SQL ou visuais; integrada com Lakehouse, Pipelines e workspaces.</p>
<p>Construída com base nos padrões Jupyter, mas:</p>
<p>1. Hospedada nativamente no Fabric.</p>
<p>2. Integrada integralmente com OneLake, Pipelines, permissões de workspace e linhagem.</p>
<p>3. Frequentemente usada em fluxos de trabalho colaborativos ou tarefas Spark.</p>
<p>São ambientes de execução hospedados e integrados ao Microsoft Fabric.</p>
<p>1. Vinculados a computação (Spark) e armazenamento (OneLake) específicos.</p>
<p>2. Governados por meio de permissões de workspace, linhagem e orquestração.</p>
<p><strong><a href=""https://learn.microsoft.com/pt-br/fabric/data-engineering/how-to-use-notebook"">Fabric Notebooks</p>","Dados
Analitica",new
File transfer,TESTAR,PLATAFORMAS,False,no change,"<p><strong>Plataforma de utilização geral</strong></p>
<p>Sistema de transferência de ficheiros entre o Banco de Portugal e instituições</p>","Integração
Conectividade",none
Jams,TESTAR,PLATAFORMAS,False,no change,"<p><strong>Plataforma de utilização geral</strong></p>
<p><strong><a href=""https://www.jamsscheduler.com/"">Jams Scheduler</p>","Automação
Orquestração", 
Kubernetes with Azure Arc,ESPERAR,PLATAFORMAS,True,new,"<p><strong>Governação</strong></p>
<p>Plaforma de governação híbrida/multi-cloud para suportar workloads trabalho de dados</p>
<p><strong><a href=""https://learn.microsoft.com/en-us/azure/azure-arc/kubernetes/overview"">Azure Arc-enabled Kubernets</p>","DevOps
Engenharia",new
